127.0.0.1 - - [11/Jul/2019:16:13:34 +0800] "GET / HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [11/Jul/2019:16:30:53 +0800] "GET /ModuleMap/index.jsp HTTP/1.1" 200 7555
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:00:16 +0800] "GET /ModuleMap/SchemeMake.jsp HTTP/1.1" 200 18211
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:00:16 +0800] "GET /ModuleMap/assets/css/SchemeMake/custom.css HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:00:16 +0800] "GET /ModuleMap/assets/fonts/OpenSans-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:00:16 +0800] "GET /ModuleMap/assets/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:00:16 +0800] "GET /ModuleMap/assets/js/SchemeMake/costom.js HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/SchemeMake.jsp HTTP/1.1" 200 18211
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/js/morris/morris-0.4.3.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/css/custom-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/fonts/OpenSans-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/css/SchemeMake/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/font-awesome/fonts/fontawesome-webfontd41d.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/js/jquery.metisMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/js/custom-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/js/morris/morris.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:17:06:52 +0800] "GET /ModuleMap/assets/js/SchemeMake/costom.js HTTP/1.1" 200 1147
